"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","X","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","individualCount","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","coordinatePrecision","stateProvince","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country","identifier","eventID","associatedReferences","datasetName","locality","county","collectionCode","gbifID","occurrenceID","recordedBy","catalogNumber","vernacularName","institutionCode","occurrenceRemarks","name","modified","dateIdentified","coordinateUncertaintyInMeters","references","rightsHolder","verbatimEventDate","verbatimLocality","taxonID","http...unknown.org.occurrenceDetails","rights","eventTime","identificationID","informationWithheld","infraspecificEpithet","elevation","elevationAccuracy","municipality","fieldNotes","sex","dynamicProperties","occurrenceStatus","locationID","behavior","locationAccordingTo","identifiedBy","continent","nomenclaturalCode","identificationVerificationStatus","language","type","samplingProtocol","datasetID","accessRights","taxonConceptID","endDayOfYear","startDayOfYear","higherClassification","lifeStage","originalNameUsage","habitat","footprintWKT","http...unknown.org.recordedByOrcid","institutionID","ownerInstitutionCode","depth","depthAccuracy","waterBody","nameAccordingTo","georeferenceSources","higherGeography","eventRemarks","reproductiveCondition","organismQuantity","georeferenceRemarks","organismQuantityType","acceptedNameUsageID","X.1f2c0cbe.40df.43f6.ba07.e76133e78c31.","preparations","georeferencedDate","georeferencedBy","georeferenceProtocol","georeferenceVerificationStatus","verbatimCoordinateSystem","otherCatalogNumbers","organismID","previousIdentifications","identificationQualifier","locationRemarks","establishmentMeans","dataGeneralizations","identificationRemarks","recordNumber","taxonRemarks","collectionID","disposition","bibliographicCitation"
"1",1,1,1,1,1,1,1,1,1988307594,"Canis lupus Linnaeus, 1758",60.288622,12.163912,"cdround,gass84","9ea87732-b88e-488d-a02b-3dc6e9b885e0","46fec380-8e1d-11dd-8679-b8a03c50a862","none","e312f477-a9ba-485e-8c1c-700868a0bfb7","NO","DWC_ARCHIVE","2019-07-08T08:12:56.025+0000","2019-01-21T11:58:08.191+0000",220,"none","HUMAN_OBSERVATION",2,5219173,1,44,359,732,9701,5219142,5219173,5219173,"Canis lupus Linnaeus, 1758","Animalia","Chordata","Carnivora","Canidae","Canis","Canis lupus","Canis","lupus","SPECIES","ACCEPTED",16,"Hedmark",2019,1,18,"2019-01-18T00:00:00","2019-01-21T11:58:08.273+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Mammalia","NO","Norway","FC5415EA-982F-4F46-9EE1-593D74FB8280","FC5415EA-982F-4F46-9EE1-593D74FB8280","https://www.skandobs.no/#showObservationOne/FC5415EA-982F-4F46-9EE1-593D74FB8280","Skandobs","I starten på grimkjølsvegen","Kongsvinger","Skandobs",1988307594,"FC5415EA-982F-4F46-9EE1-593D74FB8280","Erik Høgberget","FC5415EA-982F-4F46-9EE1-593D74FB8280","Ulv","NINA","To stk, dna tatt","Canis lupus Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,2,2,2,2,2,2,1988307841,"Lynx lynx (Linnaeus, 1758)",64.563561,12.146245,"cdround,gass84","9ea87732-b88e-488d-a02b-3dc6e9b885e0","46fec380-8e1d-11dd-8679-b8a03c50a862","none","e312f477-a9ba-485e-8c1c-700868a0bfb7","NO","DWC_ARCHIVE","2019-07-08T08:12:56.311+0000","2019-01-21T11:58:09.171+0000",220,"none","HUMAN_OBSERVATION",4,2435240,1,44,359,732,9703,2435239,2435240,2435240,"Lynx lynx (Linnaeus, 1758)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx lynx","Lynx","lynx","SPECIES","ACCEPTED",1,"Nord-Trøndelag",2019,1,16,"2019-01-16T00:00:00","2019-01-21T11:58:09.211+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Mammalia","NO","Norway","9EC81583-6A37-4CD8-84A9-B1208666FD88","9EC81583-6A37-4CD8-84A9-B1208666FD88","https://www.skandobs.no/#showObservationOne/9EC81583-6A37-4CD8-84A9-B1208666FD88","Skandobs","Eidsfjellet","Høylandet","Skandobs",1988307841,"9EC81583-6A37-4CD8-84A9-B1208666FD88","Skjult navn","9EC81583-6A37-4CD8-84A9-B1208666FD88","Gaupe","NINA","4 gauper gått retning sør/vest natt til 15.1.19.","Lynx lynx (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,3,3,3,3,3,3,1988307842,"Gulo gulo (Linnaeus, 1758)",67.809645,16.117445,"cdround,gass84","9ea87732-b88e-488d-a02b-3dc6e9b885e0","46fec380-8e1d-11dd-8679-b8a03c50a862","none","e312f477-a9ba-485e-8c1c-700868a0bfb7","NO","DWC_ARCHIVE","2019-07-08T08:12:56.574+0000","2019-01-21T11:58:09.294+0000",220,"none","HUMAN_OBSERVATION",1,5219073,1,44,359,732,5307,5219072,5219073,5219073,"Gulo gulo (Linnaeus, 1758)","Animalia","Chordata","Carnivora","Mustelidae","Gulo","Gulo gulo","Gulo","gulo","SPECIES","ACCEPTED",NA,"Nordland",2019,1,17,"2019-01-17T00:00:00","2019-01-21T11:58:09.364+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Mammalia","NO","Norway","462C335C-5DC4-4AA7-A652-2076C88254BE","462C335C-5DC4-4AA7-A652-2076C88254BE","https://www.skandobs.no/#showObservationOne/462C335C-5DC4-4AA7-A652-2076C88254BE","Skandobs","Slunkaveien","Hamarøy","Skandobs",1988307842,"462C335C-5DC4-4AA7-A652-2076C88254BE","Thorbjørn Solhaug Olsen","462C335C-5DC4-4AA7-A652-2076C88254BE","Jerv","NINA","Jerv på tur opp Slunkaveien.  2 sporsett, men trolig samme dyr.","Gulo gulo (Linnaeus, 1758)","2019-01-17T09:50:25.217+0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,4,4,4,4,4,4,1988308009,"Lynx lynx (Linnaeus, 1758)",62.894275,6.966208,"cdround,gass84","9ea87732-b88e-488d-a02b-3dc6e9b885e0","46fec380-8e1d-11dd-8679-b8a03c50a862","none","e312f477-a9ba-485e-8c1c-700868a0bfb7","NO","DWC_ARCHIVE","2019-07-08T08:12:56.913+0000","2019-01-21T11:58:09.664+0000",220,"none","HUMAN_OBSERVATION",1,2435240,1,44,359,732,9703,2435239,2435240,2435240,"Lynx lynx (Linnaeus, 1758)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx lynx","Lynx","lynx","SPECIES","ACCEPTED",0,"Møre og Romsdal",2019,1,20,"2019-01-20T00:00:00","2019-01-21T11:58:09.698+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Mammalia","NO","Norway","46928AF5-7CFB-4B9C-8C97-FE55DDC5D15E","46928AF5-7CFB-4B9C-8C97-FE55DDC5D15E","https://www.skandobs.no/#showObservationOne/46928AF5-7CFB-4B9C-8C97-FE55DDC5D15E","Skandobs","Harøysund","Fræna","Skandobs",1988308009,"46928AF5-7CFB-4B9C-8C97-FE55DDC5D15E","Uregistrert bruker","46928AF5-7CFB-4B9C-8C97-FE55DDC5D15E","Gaupe","NINA",NA,"Lynx lynx (Linnaeus, 1758)","2019-01-20T18:57:45.493+0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,5,5,5,5,5,5,1989766067,"Lynx lynx (Linnaeus, 1758)",65.089775,12.408401,"cdround,gass84","9ea87732-b88e-488d-a02b-3dc6e9b885e0","46fec380-8e1d-11dd-8679-b8a03c50a862","none","e312f477-a9ba-485e-8c1c-700868a0bfb7","NO","DWC_ARCHIVE","2019-07-08T08:12:57.819+0000","2019-01-28T09:06:32.983+0000",220,"none","HUMAN_OBSERVATION",1,2435240,1,44,359,732,9703,2435239,2435240,2435240,"Lynx lynx (Linnaeus, 1758)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx lynx","Lynx","lynx","SPECIES","ACCEPTED",1,"Nordland",2019,1,26,"2019-01-26T00:00:00","2019-01-28T09:06:33.013+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Mammalia","NO","Norway","2D18CF30-30EA-4061-BB26-B984E0D1F8C4","2D18CF30-30EA-4061-BB26-B984E0D1F8C4","https://www.skandobs.no/#showObservationOne/2D18CF30-30EA-4061-BB26-B984E0D1F8C4","Skandobs","Terråk","Bindal","Skandobs",1989766067,"2D18CF30-30EA-4061-BB26-B984E0D1F8C4","Skjult navn","2D18CF30-30EA-4061-BB26-B984E0D1F8C4","Gaupe","NINA","Sno har dokumentert at denne ble tatt av gaupe","Lynx lynx (Linnaeus, 1758)","2019-01-28T09:30:48.033+0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,6,6,6,6,6,6,1989766074,"Lynx lynx (Linnaeus, 1758)",61.777509,9.483002,"cdround,gass84","9ea87732-b88e-488d-a02b-3dc6e9b885e0","46fec380-8e1d-11dd-8679-b8a03c50a862","none","e312f477-a9ba-485e-8c1c-700868a0bfb7","NO","DWC_ARCHIVE","2019-07-08T08:12:58.398+0000","2019-01-28T09:06:33.602+0000",220,"none","HUMAN_OBSERVATION",2,2435240,1,44,359,732,9703,2435239,2435240,2435240,"Lynx lynx (Linnaeus, 1758)","Animalia","Chordata","Carnivora","Felidae","Lynx","Lynx lynx","Lynx","lynx","SPECIES","ACCEPTED",0,"Oppland",2019,1,25,"2019-01-25T00:00:00","2019-01-28T09:06:33.606+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Mammalia","NO","Norway","8E53B829-A335-4DC0-AB26-993232C7C19E","8E53B829-A335-4DC0-AB26-993232C7C19E","https://www.skandobs.no/#showObservationOne/8E53B829-A335-4DC0-AB26-993232C7C19E","Skandobs","Formolia, Sel","Sel","Skandobs",1989766074,"8E53B829-A335-4DC0-AB26-993232C7C19E","Tormod Pedersen","8E53B829-A335-4DC0-AB26-993232C7C19E","Gaupe","NINA",NA,"Lynx lynx (Linnaeus, 1758)","2019-01-25T10:52:35.657+0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,7,7,7,7,7,7,1990467162,"Sciurus niger Linnaeus, 1758",42.296511,-85.608766,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","none","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2019-07-08T16:18:15.729+0000","2019-03-19T20:58:59.316+0000",171,"none","HUMAN_OBSERVATION",NA,5219683,1,44,359,1459,9456,2437489,5219683,5219683,"Sciurus niger Linnaeus, 1758","Animalia","Chordata","Rodentia","Sciuridae","Sciurus","Sciurus niger","Sciurus","niger","SPECIES","ACCEPTED",NA,"Michigan",2019,1,5,"2019-01-05T13:04:46","2019-03-19T21:03:28.126+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Mammalia","US","United States of America","19445696",NA,NA,"iNaturalist research-grade observations",NA,NA,"Observations",1990467162,"https://www.inaturalist.org/observations/19445696","hungryhumpbacks","19445696",NA,"iNaturalist",NA,"Sciurus niger Linnaeus, 1758","2019-01-18T20:38:51.000+0000","2019-01-18T20:38:20",5,"https://www.inaturalist.org/observations/19445696","hungryhumpbacks","Sat Jan 05 2019 13:04:46 GMT-0500 (EST)","Kalamazoo County, US-MI, US","46020","https://www.inaturalist.org/observations/19445696","© hungryhumpbacks some rights reserved","18:04:46Z","43422067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,8,8,8,8,8,8,1990482027,"Mephitis mephitis (Schreber, 1776)",39.01072,-123.130952,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","none","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2019-07-08T16:18:27.989+0000","2019-03-19T20:59:48.959+0000",171,"none","HUMAN_OBSERVATION",NA,5219380,1,44,359,732,9679,5219379,5219380,5219380,"Mephitis mephitis (Schreber, 1776)","Animalia","Chordata","Carnivora","Mephitidae","Mephitis","Mephitis mephitis","Mephitis","mephitis","SPECIES","ACCEPTED",NA,"California",2019,1,12,"2019-01-12T11:36:49","2019-03-19T21:05:35.584+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Mammalia","US","United States of America","19594630",NA,NA,"iNaturalist research-grade observations",NA,NA,"Observations",1990482027,"https://www.inaturalist.org/observations/19594630","Brook","19594630",NA,"iNaturalist","Roadkill","Mephitis mephitis (Schreber, 1776)","2019-01-23T17:27:24.000+0000","2019-01-12T19:40:07",28151,"https://www.inaturalist.org/observations/19594630","Brook","Sat Jan 12 2019 11:36:49 GMT-0800 (PST)","Mendocino County, US-CA, US","41880","https://www.inaturalist.org/observations/19594630","© Brook some rights reserved","19:36:49Z","43036836","Coordinate uncertainty increased to 28151m at the request of the observer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,9,9,9,9,9,9,1990492475,"Odocoileus virginianus (Zimmermann, 1780)",44.540493,-73.115898,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","none","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2019-07-08T16:18:30.902+0000","2019-03-19T20:59:58.584+0000",171,"none","HUMAN_OBSERVATION",NA,2440965,1,44,359,731,5298,2440964,2440965,2440965,"Odocoileus virginianus (Zimmermann, 1780)","Animalia","Chordata","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus","Odocoileus","virginianus","SPECIES","ACCEPTED",NA,"Vermont",2019,1,13,"2019-01-13T16:26:27","2019-03-19T21:05:56.276+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Mammalia","US","United States of America","19623443",NA,NA,"iNaturalist research-grade observations",NA,NA,"Observations",1990492475,"https://www.inaturalist.org/observations/19623443","besser","19623443",NA,"iNaturalist",NA,"Odocoileus virginianus (Zimmermann, 1780)","2019-03-12T21:39:39.000+0000","2019-01-13T21:27:58",NA,"https://www.inaturalist.org/observations/19623443","besser","2019-01-13 4:26:27 PM EST","293 Lost Nation Rd, Essex, VT 05452, USA","42223","https://www.inaturalist.org/observations/19623443","© besser some rights reserved","21:26:27Z","43111438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,10,10,10,10,10,10,1990492780,"Canis latrans Say, 1823",28.562138,-97.876678,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","none","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2019-07-08T16:18:30.593+0000","2019-03-19T20:59:59.012+0000",171,"none","HUMAN_OBSERVATION",NA,5219153,1,44,359,732,9701,5219142,5219153,5219153,"Canis latrans Say, 1823","Animalia","Chordata","Carnivora","Canidae","Canis","Canis latrans","Canis","latrans","SPECIES","ACCEPTED",NA,"Texas",2019,1,13,"2019-01-13T09:16:10","2019-03-19T21:05:56.775+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Mammalia","US","United States of America","19624477",NA,NA,"iNaturalist research-grade observations",NA,NA,"Observations",1990492780,"https://www.inaturalist.org/observations/19624477","Shaun Michael","19624477",NA,"iNaturalist",NA,"Canis latrans Say, 1823","2019-01-20T23:52:12.000+0000","2019-01-13T22:15:19",29607,"https://www.inaturalist.org/observations/19624477","Shaun Michael","2019-01-13 9:16:10 AM CST","Texas, US","42051","https://www.inaturalist.org/observations/19624477","© Shaun Michael some rights reserved","15:16:10Z","43114532","Coordinate uncertainty increased to 29607m at the request of the observer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
