"scientificName","decimalLatitude","decimalLongitude","genericName"
"Ratufa indica (Erxleben, 1777)",11.388522,76.683042,"Ratufa"
"Funambulus tristriatus (Waterhouse, 1837)",10.144092,76.710563,"Funambulus"
"Semnopithecus dussumieri I.Geoffroy Saint-Hilaire, 1843",26.917791,75.865912,"Semnopithecus"
"Sus scrofa Linnaeus, 1758",26.98863,75.851498,"Sus"
"Macaca mulatta (Zimmermann, 1780)",30.406583,78.08669,"Macaca"
"Muntiacus Rafinesque, 1815",29.705373,79.755181,"Muntiacus"
"Semnopithecus schistaceus Hodgson, 1840",29.705373,79.755181,"Semnopithecus"
"Macaca mulatta (Zimmermann, 1780)",26.917734,75.856936,"Macaca"
"Petaurista philippensis (Elliot, 1839)",12.287975,75.609391,"Petaurista"
"Macaca mulatta (Zimmermann, 1780)",26.912434,75.787271,"Macaca"
"Rhinoceros unicornis Linnaeus, 1758",26.592706,93.175159,"Rhinoceros"
"Panthera tigris tigris",21.473792,78.928541,"Panthera"
"Ratufa indica (Erxleben, 1777)",18.450124,73.446695,"Ratufa"
"Muntiacus Rafinesque, 1815",11.388522,76.683042,"Muntiacus"
"Trachypithecus phayrei (Blyth, 1847)",24.502465,92.362878,"Trachypithecus"
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",24.352674,92.344815,"Callosciurus"
"Boselaphus tragocamelus (Pallas, 1766)",27.159269,77.5232,"Boselaphus"
"Gazella bennettii (Sykes, 1831)",18.36621,74.049839,"Gazella"
"Semnopithecus dussumieri I.Geoffroy Saint-Hilaire, 1843",26.98699,75.851534,"Semnopithecus"
"Funambulus pennantii Wroughton, 1905",28.661898,77.227396,"Funambulus"
"Axis axis (Erxleben, 1777)",13.0089,80.217367,"Axis"
"Loris lydekkerianus Cabrera, 1908",10.124597,76.685432,"Loris"
"Herpestes fuscus Waterhouse, 1838",10.143271,77.036578,"Herpestes"
"Funambulus pennantii Wroughton, 1905",28.595151,77.220675,"Funambulus"
"Canis aureus Linnaeus, 1758",25.181416,85.21568,"Canis"
"Ratufa indica (Erxleben, 1777)",22.896616,86.206069,"Ratufa"
"Ratufa indica (Erxleben, 1777)",14.890509,74.32974,"Ratufa"
"Hyaena hyaena (Linnaeus, 1758)",19.876895,86.054385,"Hyaena"
