"scientificName","decimalLatitude","decimalLongitude","genericName"
"Capreolus capreolus (Linnaeus, 1758)",59.825661,17.666349,"Capreolus"
"Mustela putorius Linnaeus, 1758",57.116121,15.374891,"Mustela"
"Lepus europaeus Pallas, 1778",57.786764,14.272918,"Lepus"
"Sciurus vulgaris Linnaeus, 1758",67.850154,20.328848,"Sciurus"
"Lepus europaeus Pallas, 1778",59.82222,17.707169,"Lepus"
"Apodemus sylvaticus (Linnaeus, 1758)",59.663287,6.375739,"Apodemus"
"Lepus timidus Linnaeus, 1758",58.837681,8.732182,"Lepus"
"Capreolus capreolus (Linnaeus, 1758)",60.809981,11.701446,"Capreolus"
"Lutra lutra (Linnaeus, 1758)",68.762164,14.704182,"Lutra"
"Sciurus vulgaris Linnaeus, 1758",60.085943,10.078873,"Sciurus"
"Phocoena phocoena (Linnaeus, 1758)",59.983908,5.933364,"Phocoena"
"Lepus timidus Linnaeus, 1758",63.24965,10.442538,"Lepus"
"Alces alces (Linnaeus, 1758)",68.103692,15.519528,"Alces"
"Sorex araneus Linnaeus, 1758",59.168828,10.265848,"Sorex"
"Lepus timidus Linnaeus, 1758",62.824485,10.111787,"Lepus"
"Rattus norvegicus (Berkenhout, 1769)",57.687627,11.947701,"Rattus"
"Sciurus vulgaris Linnaeus, 1758",59.60701,16.441398,"Sciurus"
"Dama dama (Linnaeus, 1758)",59.232966,18.301341,"Dama"
"Sciurus vulgaris Linnaeus, 1758",59.397256,17.963296,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",63.82125,20.334471,"Sciurus"
"Alces alces (Linnaeus, 1758)",63.809584,20.338954,"Alces"
"Lutra lutra (Linnaeus, 1758)",62.416367,17.733193,"Lutra"
"Phoca vitulina Linnaeus, 1758",56.195055,16.400928,"Phoca"
"Capreolus capreolus (Linnaeus, 1758)",59.800696,17.590154,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",59.853576,17.630569,"Sciurus"
"Capreolus capreolus (Linnaeus, 1758)",59.835958,17.703881,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",57.6777,11.931037,"Sciurus"
"Oryctolagus cuniculus (Linnaeus, 1758)",59.346176,18.105527,"Oryctolagus"
"Vulpes vulpes (Linnaeus, 1758)",56.604204,14.172208,"Vulpes"
